ServerID,Longitude,Latitude,LinkBandwidth,ComputationCapacity,StorageCapacity,TrafficRate
5,7.0114,47.4407,50,54,19,37
19,7.6231,46.432,50,49,25,30
3,10.451,46.6215,50,47,21,26
21,8.276,47.0321,50,45,27,21
11,7.7101,47.6904,50,44,22,39
15,9.1183,47.6224,50,42,33,25
8,6.8807,46.4592,50,41,23,27
10,9.1676,46.7133,50,39,24,30
13,9.7939,46.457,50,39,29,35
23,8.9914,46.2895,50,38,28,34
7,9.6813,47.4527,50,37,27,33
18,6.7121,47.0164,50,37,26,38
1,8.5579,47.4416,50,35,28,32
25,8.099,46.1895,50,35,34,32
16,7.2284,46.8927,50,34,32,22
20,9.7058,46.9517,50,33,24,41
22,8.7864,47.0098,50,32,30,40
4,7.7212,45.9315,50,31,30,34
14,6.3,46.6887,50,30,20,28
24,9.3011,47.1959,50,29,16,29
2,5.9452,46.1378,50,28,25,29
17,7.1784,46.0014,50,26,17,36
12,8.3842,46.548,50,25,18,23
6,9.0502,45.8245,50,23,26,24
9,7.7846,46.939,50,16,31,31
