ModelID,ModelType,ArenaScore,ServerID
1,1,1,10
2,1,0.967,30
3,1,0.952,44
4,1,0.942,46
5,1,0.936,15
6,1,0.928,30
7,1,0.908,33
8,1,0.908,43
9,1,0.897,33
10,1,0.881,38
11,1,0.873,27
12,1,0.867,35
13,1,0.863,5
14,1,0.861,30
15,1,0.848,44
16,1,0.845,30
17,1,0.838,30
18,1,0.822,41
19,1,0.817,12
20,1,0.811,49
21,1,0.805,33
22,1,0.8,20
23,1,0.8,10
24,1,0.798,30
25,1,0.791,6
26,1,0.791,15
27,1,0.791,29
28,1,0.789,23
29,1,0.786,2
30,1,0.786,24
31,1,0.784,15
32,1,0.777,15
33,1,0.775,49
34,1,0.77,35
35,1,0.764,43
36,1,0.763,19
37,1,0.759,23
38,1,0.756,27
39,1,0.755,28
40,1,0.75,43
41,1,0.744,43
42,1,0.742,49
43,1,0.739,49
44,1,0.739,27
45,1,0.738,12
46,1,0.738,30
47,1,0.738,6
48,1,0.734,43
49,1,0.734,48
50,1,0.733,3
51,1,0.731,20
52,1,0.731,33
53,1,0.73,20
54,1,0.728,22
55,1,0.725,44
56,1,0.722,33
57,1,0.72,27
58,1,0.717,12
59,1,0.716,32
60,1,0.714,20
61,1,0.714,34
62,1,0.706,48
63,1,0.705,10
64,1,0.705,43
65,1,0.703,48
66,1,0.702,16
67,1,0.7,23
68,1,0.697,46
69,1,0.695,33
70,1,0.695,33
71,1,0.684,23
72,1,0.681,35
73,1,0.669,46
74,1,0.661,29
75,1,0.658,44
76,1,0.653,35
77,1,0.653,30
78,1,0.653,30
79,1,0.652,17
80,1,0.65,27
81,1,0.645,43
82,1,0.644,35
83,1,0.641,36
84,1,0.641,29
85,1,0.638,7
86,1,0.638,48
87,1,0.634,33
88,1,0.634,6
89,1,0.628,30
90,1,0.623,15
91,1,0.614,37
92,1,0.611,10
93,1,0.609,35
94,1,0.606,10
95,1,0.605,29
96,1,0.603,27
97,1,0.598,15
98,1,0.595,15
99,1,0.594,5
100,1,0.594,10
101,1,0.592,50
102,1,0.589,29
103,1,0.589,18
104,1,0.569,35
105,1,0.566,20
106,1,0.559,35
107,1,0.559,30
108,1,0.558,23
109,1,0.553,33
110,1,0.552,31
111,1,0.547,14
112,1,0.547,20
113,1,0.545,46
114,1,0.545,23
115,1,0.544,5
116,1,0.544,26
117,1,0.539,21
118,1,0.536,33
119,1,0.519,35
120,1,0.513,6
121,1,0.509,27
122,1,0.506,42
123,1,0.5,43
124,1,0.5,15
125,1,0.492,29
126,1,0.488,8
127,1,0.488,46
128,1,0.484,30
129,1,0.48,6
130,1,0.48,35
131,1,0.475,13
132,1,0.475,10
133,1,0.473,4
134,1,0.469,43
135,1,0.459,46
136,1,0.459,23
137,1,0.456,27
138,1,0.456,15
139,1,0.455,27
140,1,0.452,49
141,1,0.445,20
142,1,0.445,48
143,1,0.439,23
144,1,0.434,20
145,1,0.433,33
146,1,0.43,30
147,1,0.43,33
148,1,0.427,15
149,1,0.425,47
150,1,0.423,35
151,1,0.42,5
152,1,0.417,27
153,1,0.413,35
154,1,0.413,39
155,1,0.411,45
156,1,0.406,46
157,1,0.398,10
158,1,0.397,27
159,1,0.388,49
160,1,0.384,48
161,1,0.381,23
162,1,0.38,9
163,1,0.38,11
164,1,0.378,6
165,1,0.372,49
166,1,0.372,20
167,1,0.372,10
168,1,0.369,12
169,1,0.367,6
170,1,0.366,20
171,1,0.347,33
172,1,0.341,40
173,1,0.338,27
174,1,0.327,48
175,1,0.322,27
176,1,0.319,30
177,1,0.297,35
178,1,0.295,33
179,1,0.259,29
180,1,0.244,30
181,1,0.208,5
182,1,0.202,25
183,1,0.195,1
184,1,0.192,20
185,1,0.159,30
186,1,0.147,49
187,1,0.125,35
188,1,0.108,14
189,1,0.064,29
190,1,0.036,50
191,1,0,15
192,2,0.865,33
193,2,0.835,35
194,2,0.83,48
195,2,0.828,15
196,2,0.813,43
197,2,0.775,15
198,2,0.754,5
199,2,0.718,35
200,2,0.691,46
201,2,0.656,48
202,2,0.599,23
203,2,0.416,12
204,2,0.41,6
205,2,0.131,23
206,2,0.103,49
207,2,0.891,35
208,2,0.871,10
209,2,0.821,5
210,2,0.812,10
211,2,0.762,43
212,2,0.658,12
213,2,0.624,44
214,2,0.595,29
215,2,0.594,29
216,2,0.576,30
217,2,0.574,10
218,2,0.417,33
219,2,0.39,15
220,2,0.247,15
221,2,0.067,27
222,3,0.417,44
223,3,0.417,44
224,3,0.615,44
225,3,0.739,49
226,3,0.835,44
227,3,0.759,49
