ServerID,Longitude,Latitude,LinkBandwidth,ComputationCapacity,StorageCapacity,TrafficRate
87,12.9545,50.8335,50,55,23,20
62,13.7673,51.0475,50,53,21,23
15,13.4408,52.5088,50,51,25,40
34,11.545,49.9932,50,50,20,37
42,9.7605,47.7757,50,49,25,38
9,8.6419,50.1178,50,48,26,46
77,10.0815,48.4169,50,48,27,32
48,9.2143,48.7782,50,47,35,28
22,13.3679,48.6837,50,46,30,20
72,8.0675,52.3388,50,46,23,41
3,9.1869,47.7977,50,45,31,41
37,10.9234,49.9973,50,44,24,20
83,8.5403,47.9631,50,44,28,43
18,10.1897,49.0805,50,43,27,36
70,6.9831,49.3087,50,43,28,19
29,8.9759,48.5442,50,42,31,42
51,12.4006,52.144,50,42,31,31
96,6.6387,49.7878,50,42,34,25
6,12.3013,48.4545,50,41,27,37
40,6.4164,51.2343,50,41,30,44
66,6.187,50.8077,50,41,20,45
90,9.6859,51.4949,50,41,24,34
13,8.344,49.011,50,40,20,38
26,13.2814,53.517,50,40,18,28
56,10.8624,48.4568,50,40,25,44
79,11.9871,50.3618,50,40,29,29
99,7.9968,51.5488,50,40,26,48
5,13.2939,54.3493,50,39,18,22
27,9.6993,52.3841,50,39,28,35
46,13.0577,52.4029,50,39,26,41
61,11.8446,50.9049,50,39,29,36
74,12.0875,49.0285,50,39,31,35
92,10.9845,49.4395,50,39,27,35
17,12.0168,51.4659,50,38,23,27
35,11.3761,49.4017,50,38,26,29
54,8.799,53.0884,50,38,30,34
81,9.2774,49.1683,50,38,33,24
95,14.1823,52.3637,50,38,25,32
1,7.517,51.4825,50,37,29,35
20,7.4705,53.0359,50,37,29,34
43,14.3351,51.3965,50,37,33,30
65,11.4788,48.7239,50,37,27,27
89,10.306,47.7514,50,37,29,30
10,6.9329,50.9532,50,36,30,26
31,10.7882,52.3254,50,36,34,33
49,12.4359,51.3337,50,36,28,33
67,12.7327,48.0021,50,36,30,34
84,12.0704,47.8426,50,36,21,31
12,14.8304,51.1115,50,35,33,31
25,9.7442,49.7563,50,35,22,31
36,6.4828,51.7393,50,35,37,32
52,7.1153,51.469,50,35,27,47
58,8.6282,50.6167,50,35,22,32
76,8.4765,51.9791,50,35,36,22
93,11.2467,47.6576,50,35,31,29
23,12.4232,53.16,50,34,32,35
44,12.4359,50.6551,50,34,22,24
60,10.4657,51.7061,50,34,26,25
73,11.2341,51.2934,50,34,26,26
97,7.4333,52.0842,50,34,28,38
8,9.5191,53.1595,50,33,24,33
32,11.7738,48.2765,50,33,23,26
55,9.7041,48.7425,50,33,19,30
69,8.7811,48.8981,50,33,15,33
86,9.6196,50.7542,50,33,30,36
19,8.7714,51.6015,50,32,16,21
39,8.8463,52.164,50,32,21,30
63,13.869,51.7343,50,32,34,39
80,13.263,51.3123,50,32,18,37
4,10.7805,47.9498,50,31,25,30
30,6.7778,51.3636,50,31,27,23
47,10.2205,52.4769,50,31,24,33
82,7.8686,48.0224,50,31,25,33
100,9.2676,54.6389,50,31,30,26
16,7.8758,50.9016,50,30,39,32
41,7.5821,50.3335,50,30,17,27
59,7.6499,49.4289,50,30,38,40
71,7.736,53.6798,50,30,30,30
88,6.601,50.2661,50,30,37,39
11,10.7225,50.805,50,29,21,29
50,11.5201,48.135,50,29,20,22
75,9.9901,53.543,50,29,22,38
94,11.367,53.4596,50,29,22,42
2,9.0676,50.0566,50,28,22,28
33,11.6104,52.1488,50,28,29,40
64,8.407,49.5049,50,28,24,31
24,13.9407,53.6002,50,27,26,39
53,9.9118,54.3146,50,27,23,26
78,7.7728,47.6448,50,27,24,40
38,12.1769,49.5939,50,26,28,36
91,12.2325,54.0263,50,26,20,27
7,12.8093,48.9664,50,25,36,19
68,8.6292,49.8293,50,25,25,27
28,8.2035,53.165,50,24,25,17
45,8.0052,48.5321,50,23,29,35
14,10.1931,49.9762,50,22,28,24
85,10.6466,53.8187,50,22,26,28
57,8.1667,50.0099,50,21,28,29
98,8.6474,49.348,50,20,19,31
21,7.1608,50.7459,50,19,24,43
