ServerID,Longitude,Latitude,LinkBandwidth,ComputationCapacity,StorageCapacity,TrafficRate
28,9.18869,45.464172,50,51,21,18
10,9.193552,45.464914,50,50,31,38
18,9.191054,45.465912,50,50,18,20
13,9.186172,45.464172,50,43,33,21
25,9.188069,45.463064,50,41,36,37
22,9.1891,45.460764,50,40,22,34
29,9.188003,45.469604,50,40,23,46
1,9.192123,45.458973,50,39,38,32
5,9.192123,45.461426,50,38,35,47
6,9.19075,45.466919,50,37,24,19
17,9.194046,45.470627,50,36,30,40
23,9.194183,45.467606,50,36,30,22
14,9.186601,45.458231,50,34,29,48
2,9.186172,45.466232,50,33,28,42
3,9.2017364,45.4662322,50,33,12,28
26,9.18457,45.457306,50,33,17,43
27,9.180588,45.468155,50,32,32,25
9,9.202015,45.462375,50,30,21,44
12,9.204483,45.469437,50,30,25,31
20,9.198525,45.463738,50,30,26,24
21,9.182785,45.464035,50,30,25,39
30,9.188052,45.455974,50,30,34,35
4,9.183883,45.461701,50,29,24,36
11,9.197593,45.466773,50,26,19,26
15,9.181137,45.460053,50,25,25,27
7,9.179764,45.455933,50,23,27,30
16,9.199336,45.469815,50,21,20,33
19,9.197026,45.456444,50,21,29,45
8,9.204366,45.457032,50,18,15,41
24,9.18033,45.469657,50,16,28,29
